"Depth","Aldrin","HCB"
"1","Surface",3.08,3.74
"2","Surface",3.58,4.61
"3","Surface",3.81,4
"4","Surface",4.31,4.67
"5","Surface",4.35,4.87
"6","Surface",4.4,5.12
"7","Surface",3.67,4.52
"8","Surface",5.17,5.29
"9","Surface",5.17,5.74
"10","Surface",4.35,5.48
"11","Middepth",5.17,6.03
"12","Middepth",6.17,6.55
"13","Middepth",6.26,3.55
"14","Middepth",4.26,4.59
"15","Middepth",3.17,3.77
"16","Middepth",3.76,4.81
"17","Middepth",4.76,5.85
"18","Middepth",4.9,5.74
"19","Middepth",6.57,6.77
"20","Middepth",5.17,5.64
"21","Bottom",4.81,5.44
"22","Bottom",5.71,6.88
"23","Bottom",4.9,5.37
"24","Bottom",5.35,5.44
"25","Bottom",5.26,5.03
"26","Bottom",6.26,6.48
"27","Bottom",3.76,3.89
"28","Bottom",8.07,5.85
"29","Bottom",8.79,6.85
"30","Bottom",7.3,7.16
